Source.Name,aircraft_id,qty_needed,qty_res,qty_issued,qty_turned_in,unit_price,part_number,description,pos_ref,task_number,part_qty_oh,part_qty_ava,qty_on_order
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,0.0,0,0.0,398-21,FILTER,ENG 1,330-361143-01-1-1,4.0,2.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,398-84,FILTER,ENG 2,330-361143-01-1-2,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,398-84,FILTER,ENG 1,330-361143-01-1-1,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,3E000122-0000,GAS SPRING,CABIN,330-25-HWI-24,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,0.0,0,0.0,3E000130-0000,ECU HAL A330 PGA,CABIN,,1.0,1.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,6.0,0.0,6.0,0,0.0,3M 39040,LEATHER & VINYL CLEANER RESTORER,CABIN,,6.0,6.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,15.0,0.0,10.0,0,0.0,3M 7445B,SCOTCH BRITE,FWD NT,P122207,10.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,19.0,0.0,19.0,0,0.0,3M 7445B,SCOTCH BRITE,FANT,330-05-HWI-55,10.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,3M TAPE 950,ADHESIVE TRANSFER TAPE - NTF,CABIN,330-25-HWI-120,5.0,3.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,20.0,0.0,0.0,0,0.0,3T000170-0000,CAP,CABIN,330-25-HWI-24,58.0,58.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,4020Q10-2,PRESSURE UNIT AIR,LDG,330-291000-11-1,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,2.0,0.0,2.0,0,0.0,402B8-4,FILTER,LDG,330-29-HWI-09,2.0,0.0,2.0
AIRCRAFT1_mats.csv,AIRCRAFT1,2.0,0.0,2.0,0,0.0,402D8-3,FLUID SEPARATOR,LDG,330-29-HWI-09,2.0,0.0,2.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,4197-20-04,BALLAST UNIT-ADVANCE INTERGRATED,AVIO,,1.0,0.0,0.0
